operazione,ripetizioni,media_ms,dev_std_ms,min_ms,max_ms
autenticazione + emissione C_p,60,45.389378,26.861238,13.544500,158.617100
costruzione della scheda M,60,0.614598,0.064007,0.588200,1.048600
ricezione + ricevuta R,60,0.732125,0.072039,0.689200,1.146800
latenza della verifica individuale (lato elettore),60,0.262133,0.004086,0.257700,0.282700
latenza della verifica universale,1,3.383800,0.000000,3.383800,3.383800
